BikeBuyer,CustomerID
0,18988
0,29135
0,12156
0,13749
0,27780
0,16375
0,16109
0,15606
0,20888
0,20716
0,21311
0,21741
0,20101
0,28302
0,14515
0,11674
0,11539
0,14290
0,20615
0,14818
0,26973
0,17825
0,15133
0,22334
0,26530
0,15411
0,24792
0,18812
0,27688
0,14513
0,28847
0,11168
0,18336
0,14382
0,28882
0,23238
0,19098
0,15295
0,12347
0,20655
0,28156
0,20907
0,22162
0,17782
0,25307
0,14641
0,12477
0,18593
0,22718
0,11377
0,18875
0,21972
0,13420
0,19205
0,15966
0,16311
0,26497
0,27508
0,20403
0,12728
0,26965
0,26248
0,18078
0,15376
0,28529
0,16104
0,13633
0,26019
0,19646
0,12133
0,19411
0,23050
0,16803
0,25367
0,11018
0,24425
0,19505
0,27759
0,12996
0,17519
0,19145
0,18746
0,12607
0,21435
0,11569
0,23800
0,21618
0,26089
0,11551
0,21268
0,23072
0,26766
0,15407
0,16381
0,13665
0,13409
0,15609
0,18681
0,18464
0,27695
0,21567
0,27999
0,11733
0,18823
0,13893
0,16817
0,26889
0,13339
0,16670
0,16690
0,22080
0,15291
0,24355
0,17502
0,18358
0,19893
0,14093
0,23327
0,11069
0,15778
0,22960
0,29269
0,28245
0,20497
0,23091
0,14418
0,27497
0,28577
0,22654
0,13485
0,22025
0,28515
0,26318
0,11959
0,21429
0,21545
0,21848
0,11995
0,24675
0,16096
0,13966
0,21707
0,15157
0,15017
0,19705
0,14416
0,24466
0,20135
0,28431
0,22058
0,11331
0,18320
0,24761
0,16219
0,22205
0,19647
0,28662
0,18732
0,12339
0,22106
0,23305
0,20290
0,16067
0,20186
0,14600
0,23713
0,11288
0,27942
0,25824
0,12028
0,26902
0,19897
0,18488
0,15991
0,13499
0,24737
0,18253
0,23277
0,25709
0,19037
0,25550
0,26714
0,15593
0,22018
0,11606
0,25634
0,21615
0,28455
0,11864
0,19197
0,21329
0,19853
0,27797
0,17464
0,12209
0,23621
0,23857
0,29388
0,21348
0,18788
0,20518
0,25960
0,22560
0,28119
0,21157
0,23040
0,13637
0,16112
0,23547
0,27814
0,23382
0,21025
0,23366
0,26746
0,11870
0,13618
0,14883
0,27934
0,22504
0,22473
0,15621
0,16925
0,15100
0,25391
0,11356
0,24930
0,15341
0,11247
0,22652
0,21284
0,15636
0,28003
0,20285
0,20140
0,15959
0,28746
0,26818
0,28821
0,23896
0,23314
0,26510
0,15111
0,24205
0,28463
0,20040
0,12822
0,25619
0,20280
0,26392
0,20513
0,20201
0,22535
0,16279
0,27996
0,19929
0,22103
0,19784
0,26045
0,25791
0,24265
0,19650
0,29106
0,18787
0,22160
0,19506
0,26661
0,12192
0,29310
0,16838
0,12103
0,28220
0,27128
0,15420
0,22360
0,23453
0,13526
0,24840
0,13102
0,11595
0,26171
0,13376
0,27313
0,18778
0,26210
0,22603
0,15630
0,26578
0,11373
0,28137
0,12265
0,12542
0,15479
0,14562
0,13899
0,29483
0,24414
0,13406
0,29406
0,28794
0,19273
0,14063
0,11643
0,13484
0,25969
0,13228
0,22411
0,27304
0,17060
0,27563
0,27527
0,28541
0,28214
0,21533
0,11826
0,18854
0,14349
0,25254
0,14190
0,22796
0,24309
0,12768
0,27133
0,25907
0,28023
0,21520
0,25554
0,27715
0,24917
0,24788
0,24378
0,22049
0,17872
0,11502
0,21074
0,28153
0,19940
0,29157
0,19775
0,16182
0,11068
0,19864
0,12498
0,24232
0,28314
0,14753
0,12550
0,24801
0,16327
0,19587
0,14252
0,15186
0,25454
0,19857
0,17861
0,18079
0,18706
0,14603
0,13401
0,28447
0,23020
0,21557
0,23206
0,20429
0,23214
0,22027
0,26370
0,28518
0,28221
0,17984
0,20321
0,19824
0,20825
0,26294
0,16574
0,21938
0,20482
0,22186
0,29439
0,27050
0,27974
0,14579
0,28264
0,18630
0,22099
0,21219
0,28028
0,26684
0,29361
0,26987
0,19783
0,22362
0,24523
0,17657
0,13148
0,25222
0,22680
0,18814
0,20984
0,24041
0,16489
0,18845
0,13259
0,20475
0,13277
0,11796
0,19120
0,22280
0,29324
0,11875
0,14139
0,24420
0,24280
0,18538
0,23841
0,14959
0,14097
0,13384
0,19559
0,12650
0,18777
0,15831
0,28593
0,24914
0,20961
0,22048
0,14338
0,20830
0,14697
0,23952
0,17877
0,17837
0,20543
0,25894
0,22863
0,27826
0,25356
0,18610
0,16852
0,25360
0,13487
0,18963
0,15698
0,21611
0,11258
0,16036
0,23354
0,28641
0,25455
0,20996
0,12760
0,26843
0,12939
0,11807
0,17560
0,18998
0,11215
0,19116
0,15839
0,13930
0,12093
0,19731
0,12514
0,19038
0,27156
0,26756
0,21181
0,21803
0,27431
0,17685
0,12118
0,17237
0,11678
0,13583
0,14907
0,20857
0,24285
0,24154
0,12299
0,15690
0,27720
0,24408
0,26764
0,25829
0,22616
0,13725
0,23990
0,22830
0,26815
0,12095
0,16821
0,11597
0,13960
0,23613
0,15694
0,24816
0,24211
0,23627
0,14500
0,22223
0,29068
